Distance,Distance_36k,x,y,Line,bedmap2_bed,Susc,Window_Width,Depth,data/results/rosetta_lindeque_basement_g80kfilt.nc,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip
453000.0,432000.0,-75957.22051885,-1091279.346865,650.0,-633.668669918,2.913198975565,22966.40748745,-4391.9782713,-1495.91300904,-4391.9782713,-1450.6808349698058,0.0,131.0,-1416.5036955057963,-1442.6884200506786,-1442.6884200506786
458000.0,432000.0,-79890.92663224999,-1091255.380055,650.0,-625.273112928,18.54848126713,21588.423038200002,-7474.462402075,-1539.791261895,-7474.462402075,-1439.5721173411946,0.0,131.0,-1327.4743952143265,-1358.6581903776232,-1358.6581903776232
463000.0,432000.0,-85784.56269575,-1091212.3052750002,650.0,-612.5776598714999,4.73021686165,10105.219294524999,-4847.003295695,-1607.163445995,-4847.003295695,-1406.2459644553614,0.0,131.0,-1228.4469536860286,-1271.3304641229477,-1271.3304641229477
468000.0,450000.0,-91174.42530285,-1091174.59668,650.0,-602.412222463,4.41875993527,16995.141540750003,-3631.088378745,-1658.1012693349999,-3631.088378745,-1346.2588892608615,0.0,171.0,-1119.4213709209018,-1194.1065305970685,-1194.1065305970685
473000.0,468000.0,-95601.14966170001,-1091152.489085,650.0,-596.3861995235,2.9972251371450005,11023.875593975,-3057.045165875,-1688.6353517100001,-3057.045165875,-1292.9370446435282,0.0,211.0,-1040.6015148501963,-1140.387679110402,-1140.387679110402
478000.0,468000.0,-100830.859009,-1091122.501675,650.0,-591.9428797005,2.404277946035,10105.219294474999,-2777.8474119800003,-1716.557852995,-2777.8474119800003,-1257.3891482319727,0.0,211.0,-1032.1912534051614,-1123.5751989733649,-1123.5751989733649
483000.0,468000.0,-105891.654848,-1091094.636955,650.0,-589.7112909815,2.118235249045,12401.860043199998,-2522.12475574,-1747.682342625,-2522.12475574,-1206.2890471403616,0.0,211.0,-1094.1905865857973,-1157.0703794963736,-1157.0703794963736
488000.0,468000.0,-110876.3060105,-1091059.60001,650.0,-589.4002893375,1.732789187825,14239.172642225,-2446.114990115,-1796.484518065,-2446.114990115,-1473.0338805266028,0.0,211.0,-1226.5995143921036,-1254.2745099898445,-1254.2745099898445
493000.0,468000.0,-115694.154461,-1091012.8066250002,650.0,-589.436134584,4.60441294884,20210.438588949997,-5203.255370880001,-1869.49719809,-5203.255370880001,-1592.496929838762,0.0,211.0,-1429.418036824081,-1421.8882351089867,-1421.8882351089867
498000.0,468000.0,-120661.8233325,-1090962.80089,650.0,-588.8709472305,6.85494114165,16995.141540800003,-6591.169677469999,-1970.627115275,-6591.169677469999,-2097.917523082512,0.0,211.0,-1702.6461538817287,-1651.6025692953153,-1651.6025692953153
503000.0,468000.0,-125954.8879345,-1090911.7308649998,650.0,-587.5271469175,4.615829030215,22507.0793378,-4685.291625780001,-2094.1247237850002,-4685.291625780001,-2281.706829716603,0.0,211.0,-2046.2838655650469,-1917.9712442759744,-1917.9712442759744
508000.0,504000.0,-130691.7334525,-1090866.5078349998,650.0,-585.3679971355,3.194704435415,1837.3125989999999,-2968.85107408,-2199.36704544,-2968.85107408,-2465.4961363506936,0.0,183.0,-2410.4772585231335,-2195.0286801807024,-2195.0286801807024
513000.0,504000.0,-135798.2468935,-1090826.5672149998,650.0,-581.8556729585,38.71274000495,16995.141540800003,-11296.8344722,-2288.035274705,-11296.8344722,-2520.6329283409214,0.0,183.0,-2692.4026364697525,-2456.809297139238,-2456.809297139238
518000.0,504000.0,-140669.270521,-1090788.709715,650.0,-577.93623161,26.28520696535,16995.14154075,-10528.28515584,-2337.53611458,-10528.28515584,-2915.7799376042167,0.0,183.0,-2888.9441298204724,-2677.347515281319,-2677.347515281319
523000.0,504000.0,-146126.9743875,-1090745.66148,650.0,-573.186690521,5.88635530089,6430.5940965,-5814.42553687,-2353.701894295,-5814.42553687,-2974.6692527877285,0.0,183.0,-3000.101738575293,-2830.6777547366837,-2830.6777547366837
528000.0,504000.0,-151340.670802,-1090702.0624466666,650.0,-570.580477457,4.19696647376,12708.078809783336,-7435.737955459999,-2348.000024273333,-7435.737955459999,-2962.4083169158407,0.0,183.0,-3025.8754627342146,-2899.1434211935552,-2899.1434211935552
